class_of_interest,nb_instances
http://www.biopax.org/release/biopax-level3.owl#BiochemicalReaction,14709
http://www.biopax.org/release/biopax-level3.owl#Pathway,2673
http://www.biopax.org/release/biopax-level3.owl#PathwayStep,17383
http://www.biopax.org/release/biopax-level3.owl#SmallMolecule,5196
http://www.biopax.org/release/biopax-level3.owl#Rna,654
http://www.biopax.org/release/biopax-level3.owl#Interaction,23577
http://www.biopax.org/release/biopax-level3.owl#Protein,31649
http://www.biopax.org/release/biopax-level3.owl#Dna,1479
