class_of_interest,nb_instances
http://www.biopax.org/release/biopax-level3.owl#BiochemicalReaction,2014
http://www.biopax.org/release/biopax-level3.owl#Pathway,27
http://www.biopax.org/release/biopax-level3.owl#PathwayStep,0
http://www.biopax.org/release/biopax-level3.owl#SmallMolecule,0
http://www.biopax.org/release/biopax-level3.owl#Rna,0
http://www.biopax.org/release/biopax-level3.owl#Interaction,7214
http://www.biopax.org/release/biopax-level3.owl#Protein,4861
http://www.biopax.org/release/biopax-level3.owl#Dna,0
