class_of_interest,nb_instances
http://www.biopax.org/release/biopax-level3.owl#BiochemicalReaction,14988
http://www.biopax.org/release/biopax-level3.owl#Pathway,2711
http://www.biopax.org/release/biopax-level3.owl#PathwayStep,17698
http://www.biopax.org/release/biopax-level3.owl#SmallMolecule,5229
http://www.biopax.org/release/biopax-level3.owl#Rna,662
http://www.biopax.org/release/biopax-level3.owl#Interaction,24120
http://www.biopax.org/release/biopax-level3.owl#Protein,31859
http://www.biopax.org/release/biopax-level3.owl#Dna,1526
