class_of_interest,nb_instances
http://www.biopax.org/release/biopax-level3.owl#BiochemicalReaction,1782
http://www.biopax.org/release/biopax-level3.owl#Pathway,195
http://www.biopax.org/release/biopax-level3.owl#PathwayStep,0
http://www.biopax.org/release/biopax-level3.owl#SmallMolecule,1664
http://www.biopax.org/release/biopax-level3.owl#Rna,0
http://www.biopax.org/release/biopax-level3.owl#Interaction,3568
http://www.biopax.org/release/biopax-level3.owl#Protein,1872
http://www.biopax.org/release/biopax-level3.owl#Dna,0
