class_of_interest,nb_instances
http://www.biopax.org/release/biopax-level3.owl#BiochemicalReaction,14878
http://www.biopax.org/release/biopax-level3.owl#Pathway,2698
http://www.biopax.org/release/biopax-level3.owl#PathwayStep,17573
http://www.biopax.org/release/biopax-level3.owl#SmallMolecule,5223
http://www.biopax.org/release/biopax-level3.owl#Rna,657
http://www.biopax.org/release/biopax-level3.owl#Interaction,23911
http://www.biopax.org/release/biopax-level3.owl#Protein,31732
http://www.biopax.org/release/biopax-level3.owl#Dna,1524
