class_of_interest,nb_instances
http://www.biopax.org/release/biopax-level3.owl#BiochemicalReaction,11533
http://www.biopax.org/release/biopax-level3.owl#Pathway,3786
http://www.biopax.org/release/biopax-level3.owl#PathwayStep,27022
http://www.biopax.org/release/biopax-level3.owl#SmallMolecule,5878
http://www.biopax.org/release/biopax-level3.owl#Rna,99
http://www.biopax.org/release/biopax-level3.owl#Interaction,30851
http://www.biopax.org/release/biopax-level3.owl#Protein,11253
http://www.biopax.org/release/biopax-level3.owl#Dna,75
